author,born_date,born_location
Albert Einstein,"March 14, 1879","Ulm, Germany"
J.K. Rowling,"July 31, 1965","Yate, South Gloucestershire, England, The United Kgdom"
Jane Austen,"December 16, 1775","Steventon Rectory, Hampshire, The United Kgdom"
Marilyn Monroe,"June 01, 1926",The United States
André Gide,"November 22, 1869","Paris, France"
Thomas A. Edison,"February 11, 1847","Milan, Ohio, The United States"
Eleanor Roosevelt,"October 11, 1884",The United States
Steve Martin,"August 14, 1945","Waco, Texas, The United States"
Bob Marley,"February 06, 1945","Ne Mile, Sat Ann, Jamaica"
Dr. Seuss,"March 02, 1904","Sprgfield, MA, The United States"
Douglas Adams,"March 11, 1952","Cambridge, England, The United Kgdom"
Elie Wiesel,"September 30, 1928","Sighet, Romania"
Friedrich Nietzsche,"October 15, 1844","Röcken bei Lützen, Prussian Provce of Saxony, Germany"
Mark Twain,"November 30, 1835","Florida, Missouri, The United States"
Allen Saunders,"April 24, 1899",The United States
Pablo Neruda,"July 12, 1904","Parral, Chile"
Ralph Waldo Emerson,"May 25, 1803","Boston, Massachusetts, The United States"
Mother Teresa,"August 26, 1910","Skopje, Macedonia, the Former Yugoslav Republic of"
Garrison Keillor,"August 07, 1942","Anoka, Mnesota, The United States"
Jim Henson,"September 24, 1936","Greenville, Mississippi, The United States"
Charles M. Schulz,"November 26, 1922","Mneapolis, MN, The United States"
William Nicholson,"January 12, 1948","Lewes, Sussex, The United Kgdom"
Jorge Luis Borges,"August 24, 1899","Buenos Aires, Argenta"
George Eliot,"November 22, 1819","South Farm, Arbury Hall, Nuneaton, Warwickshire, The United Kgdom"
George R.R. Martin,"September 20, 1948","Bayonne, New Jersey, The United States"
C.S. Lewis,"November 29, 1898","Belfast, Ireland"
Martin Luther King Jr.,"January 15, 1929","Atlanta, Georgia, The United States"
James Baldwin,"August 02, 1924","Harlem, New York, The United States"
Haruki Murakami,"January 12, 1949","Kyoto, Japan"
Alexandre Dumas-fils,"July 27, 1824","Paris, France"
Stephenie Meyer,"December 24, 1973","Connecticut, The United States"
Ernest Hemingway,"July 21, 1899","Oak Park, Illois, The United States"
Helen Keller,"June 27, 1880","Tuscumbia, Alabama, The United States"
George Bernard Shaw,"July 26, 1856","Dubl, Ireland"
Charles Bukowski,"August 16, 1920","Andernach, Germany"
Suzanne Collins,"August 11, 1962","Hartford, Connecticut, The United States"
J.R.R. Tolkien,"January 03, 1892","Bloemfonte, Mangaung, Free State, South Africa"
Alfred Tennyson,"August 06, 1809","Somersby, Lcolnshire, The United Kgdom"
Terry Pratchett,"April 28, 1948","Beaconsfield, Buckghamshire, England, The United Kgdom"
J.D. Salinger,"January 01, 1919","Manhattan, New York, The United States"
George Carlin,"May 12, 1937","New York, New York, The United States"
John Lennon,"October 09, 1940","Liverpool, England, The United Kgdom"
W.C. Fields,"January 29, 1880","Darby, Pennsylvania, The United States"
Ayn Rand,"February 02, 1905","St. Petersburg, Russian Federation"
Jimi Hendrix,"November 27, 1942","Seattle, Washgton, The United States"
J.M. Barrie,"May 09, 1860","Kirriemuir, Angus, Scotland, The United Kgdom"
E.E. Cummings,"October 14, 1894","Cambridge, Massachusetts, The United States"
Khaled Hosseini,"March 04, 1965","Kabul, Afghanistan"
Harper Lee,"April 28, 1926","Monroeville, Alabama, The United States"
Madeleine L'Engle,"November 29, 1918","New York City, New York, The United States"
